"DateTime";"Fiyat (open)";"Fiyat (high)";"Fiyat (low)";"Fiyat (close)";"Ağ. Ort. Fiyat";"Hacim"
"2020-11-06 00:00:00";2,2;2,25;2;2,24;2,2134;1717775,28
"2020-11-09 00:00:00";2,23;2,25;2,05;2,24;2,2105;2893002,62
"2020-11-10 00:00:00";2,23;2,25;2,148;2,2;2,2034;2453664,75
"2020-11-11 00:00:00";2,25;2,25;2,13;2,2;2,1968;2398936,38
"2020-11-12 00:00:00";2,1;2,229;2,1;2,2;2,1611;1636229,01
"2020-11-13 00:00:00";2,224;2,23;1,92;2,1;2,1687;822655,3
"2020-11-16 00:00:00";2,17;2,18;2;2,1;2,1242;1123392,55
"2020-11-17 00:00:00";2,15;2,15;2,05;2,07;2,1136;725635,2
"2020-11-18 00:00:00";2,07;2,464;1,99;1,99;2,0906;3144622,51
"2020-11-19 00:00:00";2,08;2,26;2;2,085;2,0734;1116146,46
"2020-11-20 00:00:00";2,125;2,13;1,99;2,08;2,083;1365678,15
"2020-11-23 00:00:00";2,06;2,1;2;2,1;2,0841;1337886,65
"2020-11-24 00:00:00";2,07;2,12;1,95;2,04;2,0805;557589,15
"2020-11-25 00:00:00";2,1;2,2;2;2,09;2,0736;1410701,5
"2020-11-26 00:00:00";2,1;2,11;2,04;2,07;2,0874;1273717,41
"2020-11-27 00:00:00";2,095;2,1;2,04;2,05;2,0743;839043,44
"2020-11-30 00:00:00";2,05;2,1;1,98;1,99;2,0625;2610837,2
"2020-12-01 00:00:00";2,05;2,12;2;2,05;2,0557;2063719,7
"2020-12-02 00:00:00";2,09;2,1;2,03;2,1;2,0696;1145720,08
"2020-12-03 00:00:00";2,065;2,15;2;2,15;2,0639;1694793,4
"2020-12-04 00:00:00";2,09;2,12;2;2,1;2,0674;1007628,82
"2020-12-07 00:00:00";2,005;2,165;1,99;2,07;2,0684;1015653
"2020-12-08 00:00:00";2,07;2,1;2;2,05;2,0537;2599357,78
"2020-12-09 00:00:00";2,225;2,225;1,99;2,05;2,0716;1785225,37
"2020-12-10 00:00:00";2,05;2,08;2;2,06;2,0546;2368069,19
"2020-12-11 00:00:00";2,05;2,1;2,03;2,06;2,057;2091049,58
"2020-12-14 00:00:00";2,0015;2,3;2;2,075;2,1161;2121666,34
"2020-12-15 00:00:00";2,08;2,3;2;2,065;2,11;1674052,85
"2020-12-16 00:00:00";2,06;2,3;2;2,06;2,0813;2748056,27
"2020-12-17 00:00:00";2,07;2,3;2;2,06;2,1028;1578353,3
"2020-12-18 00:00:00";2;2,1;2;2,02;2,0514;1938883,15
"2020-12-21 00:00:00";2,1;2,12;2;2,05;2,0434;924163,3
"2020-12-22 00:00:00";2,015;2,22;2;2,03;2,0574;1479189,29
"2020-12-23 00:00:00";2,06;2,1;1,9999;2;2,0295;1401263,29
"2020-12-24 00:00:00";2,04;2,08;2,015;2,05;2,0318;474382,66
"2020-12-25 00:00:00";2;2,06;2;2,03;2,0171;631083,55
"2020-12-28 00:00:00";2,02;2,15;1,97;2,01;2,0277;955669,9
"2020-12-29 00:00:00";1,99;2,1;1,95;1,99;1,993;782579,2
"2020-12-30 00:00:00";2,15;2,15;1,95;1,95;1,9895;621253,4
"2020-12-31 00:00:00";2,03;2,03;1,9;1,95;2,0092;133349,5
"2021-01-04 00:00:00";2,12;2,15;1,98;2,05;2,0114;861707
"2021-01-05 00:00:00";2,12;2,12;1,95;2,005;2,0419;328705,95
"2021-01-06 00:00:00";2;2,25;1,98;2,02;2,0021;487572,19
"2021-01-07 00:00:00";1,98;2,119;1,95;1,9999;1,9969;1251225,9
"2021-01-08 00:00:00";2,03;2,2;2;2;2,0385;452357,9
"2021-01-11 00:00:00";2;2,2;1,95;2;1,997;1308200,3
